Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Unnamed: 0,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
mtt (sigma),compound,,,uniprot,,,,cells,other,,,uniprot,,,,negative,d,binds,,,,,,['47'],nan,nan,"cells grew in 96-well plate were incubated with mtt (sigma) for 4 h, then the supernatant was removed and dmso was added to each well. after shaking the plate for 10 min, the optical density value was measured by an elisa reader (bio-tek elx800, winooski, vt, usa) at 570 nm.",pmc4741864,1,0.1,39,1,39.1
,protein,,,uniprot,,,,tumor,other,,,fplx,tumor,,,positive,d,none,,,b-cell,,vein,['36'],nan,nan,"to enhance the efficacy and cost-effectiveness of radiotherapy, the patient should also be treated with radiotherapy that is more fine-tuned. advances in technology and biology have led to improvements in tumor delineation and targeting, resulting in improvement of tumor coverage and a reduction in normal tissue exposure. good examples of progress in radiotherapy are technical advances such as image-guided radiotherapy (igrt) and intensity-modulated radiation therapy (imrt), which target the tumor more accurately, sparing healthy normal tissue. these allow physicians to shape radiotherapy very closely around a tumor from different directions, thereby reducing the impact of high radiation doses on nearby healthy cells such as the spinal cord or salivary glands, which, if damaged, would cause long-term problems. imrt is a recently developed powerful therapeutic strategy that enables radiation oncologists to precisely control the distribution of radiation according to the overall shape of the tumor. radiological imaging using computed tomography (ct) and magnetic resonance imaging (mri) and multileaf collimators can enhance tumor specificity. with the help of these technologies, imrt allows the delivery of precise radiation doses to tumors without increasing the adverse effects on surrounding normal tissue. in particular, simultaneous integrated boost imrt (sib-imrt) enables the delivery of a booster dose of radiation to tumor cells with high efficiency and accuracy.",pmc4661850,1,0.1,39,1,39.1
,protein,,,uniprot,p02206,plasma membrane,go:0005886,lc3b,protein,,lc3b,uniprot,q15537,cytoskeleton,go:0005699,positive,d,transcriptional regulation,,bca,epithelial,breast,human,['51'],nan,nan,"lc3b is highly expressed in tumours as compared with normal tissues. activation of lc3b in na-treated bca (mcf-7 and mda-mb-231) cells was evident as compared with other autophagy makers. further, our results confirmed that na-transcriptionally regulates lc3b (as confirmed by mrna levels and reporter assay), which resulted in the formation of acidic autophagy vesicles and autolysosomes in bca cells. nimocinol acetate inhibited mtor-mediated pro-survival signalling that resulted in inhibition of growth in bca cells without affecting normal breast epithelial cells. downregulation of lc3b expression by sirna significantly inhibited the anticancer effects of na in bca cells.",pmc4102935,1,0.1,39,1,39.1
nimocinol acetate,compound,drug,,uniprot,,,,bca cells,cell,cancer,,uniprot,,,,negative,d,inhibition,,bca cells,cancer,,human,['54'],nan,nan,"nimocinol acetate-mediated growth inhibition appears specific to bca cells, because no significant na-mediated toxicity was found in normal breast epithelial cells and pbmcs, which suggests that na could be a novel chemopreventive and chemotherapeutic agent safe for use in preclinical and clinical studies. our results also show that the use of na at its ic50 concentrations did not cause either induction of apoptosis or cell cycle arrest, following treatment for up to 48 h. the roles of autophagy and apoptosis in cancer progression are controversial; however, there is cross-talk of molecular signalling between these two events such that they share common pro-apoptotic signalling molecules in cancer cells (maiuri et al, 2007).",pmc4102935,1,0.1,39,1,39.1
nlrs,protein,,,uniprot,,cytoplasm,go:0005634,atg16l1,protein,,atg16l1,uniprot,q15575,plasma membrane,go:0005886,positive,d,interaction,plasma membrane,,epithelial-like,,human,['55'],nan,nan,"nlrs are a family of cytoplasmic molecules responsible for intracellular bacteria sensing and constitute an essential component of the host innate immune system. nod1 and nod2 are the first nlrs identified as microbial-associated molecular patterns (mamp) detectors. both nod1 and nod2 can directly stimulate autophagy by interacting at the plasma membrane with atg16l1, an essential component for autophagosome formation [22]. reports concerning the importance of nlr-mediated autophagy in neoplasia or possible cancer immune are very limited. both nod1 and nod2 play a key role in realization of innate/adaptive immune responses and autophagy, and their gene polymorphisms may be associated with a variety of cancer types [32]. nod1 is also an intracellular immune receptor that senses peptidoglycan from gram-negative bacterial peptidoglycan (pg) and responds by inducing autophagy and activating nf-κb, leading to inflammation-mediated helicobacter pylori (h. pylori) clearance which is considered as a important risk factor for gastric carcinogenesis [33].",pmc5008281,1,0.1,39,1,39.1
not available,protein,,,uniprot,not available,not available,,gastric cancer tissue,tissue,,,not available,not available,not available,,negative,d,binds,,not available,not available,gastric cancer tissue,human,['48'],nan,nan,"tissue microarrays (tmas) were constructed as previously described [46]. all donor tissues in the paraffin blocks were reviewed by a pathologist and representative areas were selected for tma construction. two cylindrical biopsies (1.5 mm in diameter) were taken from representative gastric cancer tissue and adjacent normal mucosa tissue of each case, and transferred to the recipient paraffin block at defined array positions. the consecutive tma slices were used for immunohistochemical study.",pmc4741864,1,0.1,39,1,39.1
hmgb1,protein,,hmgb1,uniprot,q92732,cytoplasm,go:0005634,retinoblastoma,protein,,rb1,uniprot,p00617,nucleus,go:0005634,positive,d,binding,,,,,human,['11'],nan,nan,"hmgb1 dysfunction is associated with each of the hallmarks of cancer.32 serum hmgb1 and hmgb1 expression in cancer tissue are generally increased in the setting of cancer. hmgb1 release promotes tumor growth, proliferation, and metastasis owing to its cytokine, chemokine, and growth factor activity. however, hmgb1 also functions as a breast cancer suppressor by binding to retinoblastoma, a tumor suppressor protein.33 a dynamic relationship between intracellular and extracellular pools of hmgb1 in tumorigenesis remains to be fully investigated.",pmc3877563,1,0.1,39,1,39.1
okadaic acid,drug,inhibitor,oada,uniprot,q92747,cytoplasm,go:0005624,cytokeratin,protein,,krt,uniprot,p00368,plasma membrane,go:0005886,negative,d,inhibition,,,epithelial-like,liver,rat,['5'],nan,nan,"it has been shown to completely protect the cytokeratin network in stress, nutrient- and growth factor-deprived environments. various studies showed its ability to overcome the disruptive effects of okadaic acid, a strong inhibitor of autophagy, on the organization of the cytoskeleton and cytokeratin in rat hepatocytes.64, 65 this is of consequence, as the cytokeratin filaments are involved in the development of autophagy.",pmc4260725,1,0.1,39,1,39.1
polyphenolic compounds,other,,,uniprot,,plasma membrane,go:0005886,autophagy,cellularprocess,,,uniprot,,cytoplasm,go:0005632,negative,d,inhibition,,,,,cancer,['2'],nan,nan,regulation of autophagy by polyphenolic compounds as a potential therapeutic strategy for cancer,pmc4260725,1,0.1,39,1,39.1
resveratrol,compound,,,uniprot,,,,atg5,protein,,atg5,uniprot,q15277,cytoplasm,go:0005737,positive,d,binds,,,,,human,['8'],nan,nan,"resveratrol was shown to trigger autophagic cell death through increased expression of atg5, 7, 9, and 12 proteins in a human hepatitis c-induced hepatoma cell line.125 also, filippi-chiela et al.126 observed that resveratrol induced the formation of autophagosomes through upregulation of atg5, beclin-1, and lc3-ii in glioblastoma cells. the ptdins(3)p effectors, wipi-1, and wipi-2 were shown to function downstream during initiation of autophagosome formation. localization of wipi-1 at the endoplasmic reticulum and the plasma membranes upon the induction of autophagy confirmed its involvement with the autophagosomal membrane.127 in another study, wipi-1 specifically bound ptdins(3)p, accumulated at the phagophore, and become a membrane protein of the autophagosome generated. wipi-1 was observed to function upstream of both atg7 and 5 and stimulated an increase of lc3-ii upon nutrient starvation. these findings constituted evidence that resveratrol-mediated autophagy was via the non-canonical pathway, beclin-1 independent but atg7 and 5 dependent.128",pmc4260725,1,0.1,39,1,39.1
rev-erb,protein,,nr1d1,uniprot,q92669,nucleus,go:0005739,arn5187,compound,,,uniprot,,,go:0005739,positive,d,activated,,,,,human,['26'],nan,nan,"consistent with its ability to relieve rev-erb-mediated transcriptional repression, arn5187 activated the revre reporter in a concentration-dependent manner, whereas no change was observed with the control compound (figure 5a). supporting the specificity of our assay for rev-erb-mediated transcription, arn5187 did not alter the activity of a reporter bearing a mutated revre that is not recognized by the rev-erb dna binding domain1 (figure 5b). analogous to other synthetic rev-erb effectors,15 arn5187 was not preferentially selective for either rev-erb variant (supplementary figure s11).",pmc4761647,1,0.1,39,1,39.1
rev-erbα,protein,,rev1,uniprot,q92572,nucleus,go:0005739,bt-474,cellline,,,,,,,negative,d,binds,,bt-474,breast cancer,,human,['25'],nan,nan,"we next assessed the contribution of rev-erbα in rev-erbβ silencing to bt-474 viability. unexpectedly, although rev-erbα has been reported to promote survival of these cells,14 we did not observe a reduction of cell viability following knockdown of either rev-erbα or rev-erbβ (figure 3a and supplementary figure s6).",pmc4761647,1,0.1,39,1,39.1
rev-erbβ,protein,,rev1,uniprot,q92777,nucleus,go:0005739,rev-erbα,protein,,rev1,uniprot,q92776,nucleus,go:0005739,positive,d,expression,,,,,human,['24'],nan,nan,"conversely, similar analysis in breast, colon, liver and prostate cancer tissue cdna acquired from origene, revealed that rev-erbβ was highly expressed compared to the rev-erbα variant in the majority of tumor samples (10/12 breast tumors, 10/12 colon tumors, 12/12 liver tumors, 12/12 prostate tumors, rev-erbβ ⩾65% total rev-erb; figure 1h and supplementary figure s3). consistent with our observations in breast cancer cell lines, this analysis also showed that preferential overexpression of rev-erbβ is not related to the erbb2 or er status of tumors (figure 1h).",pmc4761647,1,0.1,39,1,39.1
rev-erbβ,protein,,rev1,uniprot,q92879,nucleus,go:0005739,rev-erbα,protein,,rev1,uniprot,q92878,nucleus,go:0005739,positive,d,expression,nucleus,hek 293t,immortalized,,human,['23'],nan,nan,"we next addressed whether rev-erbβ overrepresentation was a general feature of transformed cells, and found that rev-erbβ was the most highly expressed variant in liver (hep-g2), prostate (lncap) and melanoma (a-375 and a-431) cancer cells (figure 1f). in contrast, a colon carcinoma cell line (hct-116) expressed comparable levels of each variant (figure 1f). the rev-erbβ/rev-erbα ratio was also higher in immortalized/transformed embryonic kidney hek-293 cells, in which rev-erbβ mrna accounted for >90% of total rev-erb transcripts (data not shown).",pmc4761647,1,0.1,39,1,39.1
rna sample preparation,other,,,uniprot,rna,cytoplasm,go:0005634,transcript expression levels,other,,,uniprot,transcript,cytoplasm,go:0005634,positive,d,hybridization,,,,,human,['28'],nan,nan,rna sample preparation and relative transcript expression levels were assessed as described previously.43,pmc4761647,1,0.1,39,1,39.1
ros-nf-κb,signaling,,,uniprot,ros-nf-κb,cytosol,go:0005634,hif-1α,protein,,hif1a,uniprot,q05733,cytoplasm,go:0005634,negative,d,binds,,,gastric cancer,,human,['44'],nan,nan,autophagy defect increases hif-1α expression by ros-nf-κb-hif-1α pathway in gastric cancer cells,pmc4741864,1,0.1,39,1,39.1
rottlerin,smallmolecule,,,uniprot,,,,nf-κb,transcriptionfactor,,nfkb1,uniprot,q05613,nucleus,go:0005739,negative,d,inhibition,,,,,human,['4'],nan,nan,"rottlerin displayed antioxidant properties and inhibitory effect on nf-κb in breast and colon cancer cells.71 in fact, in these cells, expressions of pkcδ and tg2 led to activation of nf-κb,72, 73 whereas inhibition led to induction of autophagy death.74 importantly, rottlerin is accepted widely as a pkcδ-selective inhibitor.",pmc4260725,1,0.1,39,1,39.1
tlr,protein,,tlr,uniprot,,,,atp,molecule,,atp,uniprot,p00062,cytosol,go:0005730,positive,d,release,,,b-cell,,,['56'],nan,nan,"conventional chemotherapies are particularly efficient when they elicit immunogenic cell death (icd) which is accompanied by stereotyped molecular changes, including the pre-apoptotic exposure of calreticulin (crt) on the cell surface, the lysosomal secretion of adenosine triphosphate (atp) during the blebbing phase of apoptosis, and the post-apoptotic release of high mobility group box 1 (hmgb1) from dying cells [78, 79]. autophagy upregulated the mannose-6-phosphate receptor (mpr) on the tumor cell surface and caused icd via t cells activation [80]. newcastle disease virus (ndv) infection was shown to prime adaptive antitumor immunity in orthotopic glioma through the induction of icd as well as autophagy [81]. autophagy may attract dcs and t lymphocytes into the tumor bed and promote the immunogenic release of atp from dying cells, and autophagy deficits abolish the capacity of cancer cells to elicit an immune response [82]. systemic chemotherapy with the anthracycline mitoxantrone (mtx) reduced the growth of autophagy-competent melanomas but not autophagy-deficient melanomas and this growth-inhibitory effect could be abolished by the combined depletion of cd4+ or cd8+ t lymphocytes, indicating that autophagy-dependent anticancer immune response determined the efficacy of mtx in melanoma [83]. bovisbacillus calmette-guerin (bcg/cws) is an effective antitumor immunotherapy agent and treatment with bcg/cws plus ionizing radiation (ir) resulted in the induction of autophagic cell death in colon cancer cells through jnk and tlr pathways [84].",pmc5008281,1,0.1,39,1,39.1
ulk complex,protein,,ulk1,uniprot,q92774,cytosol,go:0005739,atg13,protein,,atg13,uniprot,q92774,cytosol,go:0005739,positive,d,binds,,,,,,['58'],nan,nan,"the complete autophagic flow is a highly regulated process that can generally be divided into the following five stages: induction, vesicle nucleation, vesicle elongation and completion, docking and fusion, and degradation and recycling.3 induction of autophagy is initiated by the ulk complex, which contains the mammalian atg1 homologs ulk1 or ulk2, atg13, focal adhesion kinase family interacting protein of 200 kda (fip200) and atg101 (figure 1a).4 then vesicle nucleation occurs, in which proteins and lipids are recruited for construction of the autophagosomal membrane. this process is initiated by activation of the class iii pi3k/beclin-1 complex.5 numerous binding partners of this complex function as either positive or negative regulators, including bax-interacting factor-1 (bif-1), atg14l, uv irradiation resistance-associated gene (uvrag), activating molecule in beclin-1-regulated autophagy protein 1 (ambra1), rubicon and bcl-2/bcl-xl (figure 1b).6 ubiquitin-like protein conjugation is required for vesicle elongation and autophagosome completion, mediated by atg3, atg5, atg7, lc3 and so on, to fully encapsulate the cytosolic cargo (figure 1c).7 recruitment of cargo from the cytoplasm requires autophagy receptors such as p62. finally, the process of docking and fusion is required for the disassembly of atg protein complexes from matured autophagosomes, and regulated by atg2, atg9 and atg18.8 fusion of an autophagosome with endolysosomal compartments leads to the breakdown of cargoes by acidic hydrolases, resulting in degradation and recycling (figure 1d).",pmc3920945,1,0.1,39,1,39.1
ir,radiation,ionizing,,uniprot,,none,go:0005739,cancer cells,cell,,,uniprot,,none,go:0005739,negative,d,induces,,,,,none,['29'],nan,nan,"ir therapy, like other types of anticancer treatments, may induce multiple forms of cancer cell death through a variety of molecular mechanisms. several modes of cell killing, such as apoptosis, necrosis, autophagy, mitotic catastrophe, and senescence, occur after exposure to ir (figure 1).",pmc4661850,1,0.1,39,1,39.1
hmgb1,protein,,hmgb1,uniprot,p02494,cytoplasm,go:0005886,gastric cancer tissue,tissue,,,uniprot,tissue sample,,,positive,d,actively released,serum,,,gastric cancer tissue,human,['38'],nan,nan,"we first examined the amount of hmgb1 in 8 gastric cancer tissue samples and corresponding non-tumor gastric tissues by immunoblotting analysis. expression of hmgb1 protein was significantly higher in the tumor compared to that in the peritumor tissues (p=0.0101, fig. 1a). hmgb1 was predominantly localized in the tumor cell cytoplasm, while low expression was detected mainly in the peritumor cell nuclei (fig. 1b). hmgb1 was actively released into the circulation of patients with gastric cancer and serum levels were significantly increased in gastric cancer patients compared to the level in the healthy volunteers (fig. 1c).",pmc4358082,1,0.1,39,1,39.1
3-ma,drug,inhibitor,,uniprot,,cytoplasm,go:0005626,autophagy,process,,,uniprot,,cytoplasm,go:0005626,negative,i,binds,,,,,,['19'],nan,nan,inhibition of autophagy by 3-ma can sensitize resistant brafv600e bearing colorectal cancer cell lines to the specific brafv600e inhibitor plx4720 towards apoptotic cell death in a synergistic manner,pmc4891035,1,0.1,39,1,39.1
becn1,protein,,becn1,uniprot,q92473,cytoplasm,go:0005739,lc3,protein,,lc3,uniprot,q92474,cytoplasm,go:0005739,negative,d,downregulation,,,cancer,,human,['21'],nan,nan,"becn1 and lc3 were downregulated in the majority of examined tumors. in a previous study [53] it was shown that in 56% of breast cancers there was a significant decrease of becn1 protein expression in cancer cells compared to normal breast epithelial cells. in both colorectal and gastric cancers where becn1 mutations rarely occur, decrease of becn1 expression in cancer cells could be an inactivation mechanism of becn1 tumor suppressor functions. another study by giatromanolaki a et al has found that perinuclear lc3a accumulation in colorectal tumor cells is a marker of good prognosis, presumably reflecting a basal autophagic activity [54]. here, we provide further evidence for the strong association of brafv600e, another mutant oncoprotein of ras pathway, with increased expression of autophagic markers in colorectal tumors and cancer cell lines.",pmc4891035,1,0.1,39,1,39.1
